year,avg_temp,5-years MA,Global 10-years MA,Seoul 10-years MA
1848,7.98,8.024,7.943,10.15
1849,7.98,8.09,7.978,10.242
1850,7.9,8.1,7.988,10.19
1851,8.18,8.026,8.037,10.179
1852,8.1,8.028,8.045,10.118
1853,8.04,8.04,8.032,10.071
1854,8.21,8.086,8.088,10.109
1855,8.11,8.128,8.114,10.167
1856,8,8.092,8.059,10.14
1857,7.76,8.024,8.026,10.108
1858,8.1,8.036,8.038,10.117
1859,8.25,8.044,8.065,10.115
1860,7.96,8.014,8.071,10.093
1861,7.85,7.984,8.038,10.137
1862,7.56,7.944,7.984,10.154
1863,8.11,7.946,7.991,10.221
1864,7.98,7.892,7.968,10.168
1865,8.18,7.936,7.975,10.105
1866,8.29,8.024,8.004,10.086
1867,8.44,8.2,8.072,10.115
1868,8.25,8.228,8.087,10.119
1869,8.43,8.318,8.105,10.153
1870,8.2,8.322,8.129,10.24
1871,8.12,8.288,8.156,10.311
1872,8.19,8.238,8.219,10.368
1873,8.35,8.258,8.243,10.3
1874,8.43,8.258,8.288,10.352
1875,7.86,8.19,8.256,10.375
1876,8.08,8.182,8.235,10.435
1877,8.54,8.252,8.245,10.427
1878,8.83,8.348,8.303,10.407
1879,8.17,8.296,8.277,10.398
1880,8.12,8.348,8.269,10.393
1881,8.27,8.386,8.284,10.369
1882,8.13,8.304,8.278,10.386
1883,7.98,8.134,8.241,10.425
1884,7.77,8.054,8.175,10.31
1885,7.92,8.014,8.181,10.255
1886,7.95,7.95,8.168,10.217
1887,7.91,7.906,8.105,10.204
1888,8.09,7.928,8.031,10.209
1889,8.32,8.038,8.046,10.117
1890,7.97,8.048,8.031,10.226
1891,8.02,8.062,8.006,10.235
1892,8.07,8.094,8,10.153
1893,8.06,8.088,8.008,10.093
1894,8.16,8.056,8.047,10.316
1895,8.15,8.092,8.07,10.321
1896,8.21,8.13,8.096,10.327
1897,8.29,8.174,8.134,10.332
1898,8.18,8.198,8.143,10.447
1899,8.4,8.246,8.151,10.589
1900,8.5,8.316,8.204,10.506
1901,8.54,8.382,8.256,10.501
1902,8.3,8.384,8.279,10.622
1903,8.22,8.392,8.295,10.726
1904,8.09,8.33,8.288,10.591
1905,8.23,8.276,8.296,10.655
1906,8.38,8.244,8.313,10.624
1907,7.95,8.174,8.279,10.641
1908,8.19,8.168,8.28,10.5
1909,8.18,8.186,8.258,10.401
1910,8.22,8.184,8.23,10.34
1911,8.18,8.144,8.194,10.336
1912,8.17,8.188,8.181,10.25
1913,8.3,8.21,8.189,10.152
1914,8.59,8.292,8.239,10.271
1915,8.59,8.366,8.275,10.249
1916,8.23,8.376,8.26,10.29
1917,8.02,8.346,8.267,10.189
1918,8.13,8.312,8.261,10.202
1919,8.38,8.27,8.281,10.253
1920,8.36,8.224,8.295,10.357
1921,8.57,8.292,8.334,10.382
1922,8.41,8.37,8.358,10.439
1923,8.42,8.428,8.37,10.484
1924,8.51,8.454,8.362,10.394
1925,8.53,8.488,8.356,10.392
1926,8.73,8.52,8.406,10.368
1927,8.52,8.542,8.456,10.468
1928,8.63,8.584,8.506,10.5
1929,8.24,8.53,8.492,10.511
1930,8.63,8.55,8.519,10.525
1931,8.72,8.548,8.534,10.503
1932,8.71,8.586,8.564,10.548
1933,8.34,8.528,8.556,10.58
1934,8.63,8.606,8.568,10.547
1935,8.52,8.584,8.567,10.64
1936,8.55,8.55,8.549,10.6
1937,8.7,8.548,8.567,10.659
1938,8.86,8.652,8.59,10.686
1939,8.76,8.678,8.642,10.747
1940,8.76,8.726,8.655,10.698
1941,8.77,8.77,8.66,10.76
1942,8.73,8.776,8.662,10.734
1943,8.76,8.756,8.704,10.801
1944,8.85,8.774,8.726,10.832
1945,8.58,8.738,8.732,10.705
1946,8.68,8.72,8.745,10.827
1947,8.8,8.734,8.755,10.632
1948,8.75,8.732,8.744,10.675
1949,8.59,8.68,8.727,10.663
1950,8.37,8.638,8.688,10.729
1951,8.63,8.628,8.674,10.738
1952,8.64,8.596,8.665,10.751
1953,8.87,8.62,8.676,10.716
1954,8.56,8.614,8.647,10.773
1955,8.63,8.666,8.652,10.897
1956,8.28,8.596,8.612,10.774
1957,8.73,8.614,8.605,10.865
1958,8.77,8.594,8.607,10.851
1959,8.73,8.628,8.621,10.885
1960,8.58,8.618,8.642,10.919
1961,8.8,8.722,8.659,10.987
1962,8.75,8.726,8.67,11
1963,8.86,8.744,8.669,10.976
1964,8.41,8.68,8.654,11.002
1965,8.53,8.67,8.644,10.94
1966,8.6,8.63,8.676,11.029
1967,8.7,8.62,8.673,11.102
1968,8.52,8.552,8.648,11.086
1969,8.6,8.59,8.635,10.937
1970,8.7,8.624,8.647,10.82
1971,8.6,8.624,8.627,10.725
1972,8.5,8.584,8.602,10.728
1973,8.95,8.67,8.611,10.801
1974,8.47,8.644,8.617,10.687
1975,8.74,8.652,8.638,10.787
1976,8.35,8.602,8.613,10.77
1977,8.85,8.672,8.628,10.808
1978,8.69,8.62,8.645,10.861
1979,8.73,8.672,8.658,11.01
1980,8.98,8.72,8.686,10.967
1981,9.17,8.884,8.743,10.924
1982,8.64,8.842,8.757,10.97
1983,9.03,8.91,8.765,10.98
1984,8.69,8.902,8.787,11.026
1985,8.66,8.838,8.779,10.943
1986,8.83,8.77,8.827,10.933
1987,8.99,8.84,8.841,10.914
1988,9.2,8.874,8.892,10.891
1989,8.92,8.92,8.911,10.934
1990,9.23,9.034,8.936,11.117
1991,9.18,9.104,8.937,11.228
1992,8.84,9.074,8.957,11.229
1993,8.87,9.008,8.941,11.193
1994,9.04,9.032,8.976,11.358
1995,9.35,9.056,9.045,11.407
1996,9.04,9.028,9.066,11.474
1997,9.2,9.1,9.087,11.541
1998,9.52,9.23,9.119,11.684
1999,9.29,9.28,9.156,11.696
2000,9.2,9.25,9.153,11.652
2001,9.41,9.324,9.176,11.673
2002,9.57,9.398,9.249,11.705
2003,9.53,9.4,9.315,11.783
2004,9.32,9.406,9.343,11.776
2005,9.7,9.506,9.378,11.765
2006,9.53,9.53,9.427,11.853
2007,9.73,9.562,9.48,11.908
2008,9.43,9.542,9.471,11.838
2009,9.51,9.58,9.493,11.809
2010,9.7,9.58,9.543,11.797
2011,9.52,9.578,9.554,11.749
2012,9.51,9.534,9.548,11.692
2013,9.61,9.57,9.556,11.724
