year,avg_temp,5-years MA,10-years MA
1839,9.47,,
1840,10.21,,
1841,9.44,,
1842,10.13,,
1843,10.33,9.916,
1844,10.15,10.052,
1845,10.25,10.06,
1846,10.57,10.286,
1847,10.59,10.378,
1848,10.36,10.384,10.15
1849,10.39,10.432,10.242
1850,9.69,10.32,10.19
1851,9.33,10.072,10.179
1852,9.52,9.858,10.118
1853,9.86,9.758,10.071
1854,10.53,9.786,10.109
1855,10.83,10.014,10.167
1856,10.3,10.208,10.14
1857,10.27,10.358,10.108
1858,10.45,10.476,10.117
1859,10.37,10.444,10.115
1860,9.47,10.172,10.093
1861,9.77,10.066,10.137
1862,9.69,9.95,10.154
1863,10.53,9.966,10.221
1864,10,9.892,10.168
1865,10.2,10.038,10.105
1866,10.11,10.106,10.086
1867,10.56,10.28,10.115
1868,10.49,10.272,10.119
1869,10.71,10.414,10.153
1870,10.34,10.442,10.24
1871,10.48,10.516,10.311
1872,10.26,10.456,10.368
1873,9.85,10.328,10.3
1874,10.52,10.29,10.352
1875,10.43,10.308,10.375
1876,10.71,10.354,10.435
1877,10.48,10.398,10.427
1878,10.29,10.486,10.407
1879,10.62,10.506,10.398
1880,10.29,10.478,10.393
1881,10.24,10.384,10.369
1882,10.43,10.374,10.386
1883,10.24,10.364,10.425
1884,9.37,10.114,10.31
1885,9.88,10.032,10.255
1886,10.33,10.05,10.217
1887,10.35,10.034,10.204
1888,10.34,10.054,10.209
1889,9.7,10.12,10.117
1890,11.38,10.42,10.226
1891,10.33,10.42,10.235
1892,9.61,10.272,10.153
1893,9.64,10.132,10.093
1894,11.6,10.512,10.316
1895,9.93,10.222,10.321
1896,10.39,10.234,10.327
1897,10.4,10.392,10.332
1898,11.49,10.762,10.447
1899,11.12,10.666,10.589
1900,10.55,10.79,10.506
1901,10.28,10.768,10.501
1902,10.82,10.852,10.622
1903,10.68,10.69,10.726
1904,10.25,10.516,10.591
1905,10.57,10.52,10.655
1906,10.08,10.48,10.624
1907,10.57,10.43,10.641
1908,10.08,10.31,10.5
1909,10.13,10.286,10.401
1910,9.94,10.16,10.34
1911,10.24,10.192,10.336
1912,9.96,10.07,10.25
1913,9.7,9.994,10.152
1914,11.44,10.256,10.271
1915,10.35,10.338,10.249
1916,10.49,10.388,10.29
1917,9.56,10.308,10.189
1918,10.21,10.41,10.202
1919,10.64,10.25,10.253
1920,10.98,10.376,10.357
1921,10.49,10.376,10.382
1922,10.53,10.57,10.439
1923,10.15,10.558,10.484
1924,10.54,10.538,10.394
1925,10.33,10.408,10.392
1926,10.25,10.36,10.368
1927,10.56,10.366,10.468
1928,10.53,10.442,10.5
1929,10.75,10.484,10.511
1930,11.12,10.642,10.525
1931,10.27,10.646,10.503
1932,10.98,10.73,10.548
1933,10.47,10.718,10.58
1934,10.21,10.61,10.547
1935,11.26,10.638,10.64
1936,9.85,10.554,10.6
1937,11.15,10.588,10.659
1938,10.8,10.654,10.686
1939,11.36,10.884,10.747
1940,10.63,10.758,10.698
1941,10.89,10.966,10.76
1942,10.72,10.88,10.734
1943,11.14,10.948,10.801
1944,10.52,10.78,10.832
1945,9.99,10.652,10.705
1946,11.07,10.688,10.827
1947,9.2,10.384,10.632
1948,11.23,10.402,10.675
1949,11.24,10.546,10.663
1950,11.29,10.806,10.729
1951,10.98,10.788,10.738
1952,10.85,11.118,10.751
1953,10.79,11.03,10.716
1954,11.09,11,10.773
1955,11.23,10.988,10.897
1956,9.84,10.76,10.774
1957,10.11,10.612,10.865
1958,11.09,10.672,10.851
1959,11.58,10.77,10.885
1960,11.63,10.85,10.919
1961,11.66,11.214,10.987
1962,10.98,11.388,11
1963,10.55,11.28,10.976
1964,11.35,11.234,11.002
1965,10.61,11.03,10.94
1966,10.73,10.844,11.029
1967,10.84,10.816,11.102
1968,10.93,10.892,11.086
1969,10.09,10.64,10.937
1970,10.46,10.61,10.82
1971,10.71,10.606,10.725
1972,11.01,10.64,10.728
1973,11.28,10.71,10.801
1974,10.21,10.734,10.687
1975,11.61,10.964,10.787
1976,10.56,10.934,10.77
1977,11.22,10.976,10.808
1978,11.46,11.012,10.861
1979,11.58,11.286,11.01
1980,10.03,10.97,10.967
1981,10.28,10.914,10.924
1982,11.47,10.964,10.97
1983,11.38,10.948,10.98
1984,10.67,10.766,11.026
1985,10.78,10.916,10.943
1986,10.46,10.952,10.933
1987,11.03,10.864,10.914
1988,11.23,10.834,10.891
1989,12.01,11.102,10.934
1990,11.86,11.318,11.117
1991,11.39,11.504,11.228
1992,11.48,11.594,11.229
1993,11.02,11.552,11.193
1994,12.32,11.614,11.358
1995,11.27,11.496,11.407
1996,11.13,11.444,11.474
1997,11.7,11.488,11.541
1998,12.66,11.816,11.684
1999,12.13,11.778,11.696
2000,11.42,11.808,11.652
2001,11.6,11.902,11.673
2002,11.8,11.922,11.705
2003,11.8,11.75,11.783
2004,12.25,11.774,11.776
2005,11.16,11.722,11.765
2006,12.01,11.804,11.853
2007,12.25,11.894,11.908
2008,11.96,11.926,11.838
2009,11.84,11.844,11.809
2010,11.3,11.872,11.797
2011,11.12,11.694,11.749
2012,11.23,11.49,11.692
2013,12.12,11.522,11.724
